race,other_name,start,s1_end,s2_end,s3_end,dones
Argentina,,52.3-93.8,95.9-28,195.4-33.9,122.8-42.3,0
Australia,,89-81.1,189.2-65,118.5-24.1,41.4-55.8,1
Austria,,139.0-104.7,25.1-38.4,91.6-23.7,133.3-40.8,1
Cataluna,5,182.4-75.1,14.5-65.5,60.9-68.2,222.9-45.4,1
France,,213.4-158.8,10.5-78.2,53.9-50.6,166.3-75.3,1
Germany,,63-64,201-92,196.4-135.1,123.6-15,1
Indonesia,,50.4-43.5,122.2-90.8,45.1-166.3,67.7-99.2,2
Italy,,120.9-69.7,143.2-145.9,26-62,124.1-55.6,3
Japan,,48-138,62.3-98,53.6-86.1,129-27.2,3
Malaysia,,111.3-85.7,26-23,157.1-78.7,33.7-130.4,3
Netherlands,,116.8-50,150.8-47.8,82.5-117,8.1-111,0
Portugal,,67.2-93.1,24.8-53.1,63-37.1,128.3-33.7,1
Qatar,,74.4-105.4,8-52.9,57.4-24.1,148.6-21.4,3
San Marino,,134.4-64,23.4-60.9,105.9-16.3,205.8-119.7,1
Spain,,27-60,69.4-35.8,133.5-88.5,76.7-149.6,3
Thailand,,28.6-28.7,150.2-28.6,38.8-66.7,155.4-70,3
United Kingdom,,56.9-27.6,117.1-102.9,13.4-139,98-80.7,0
USA,,30.7-79.2,146.3-61.1,194.4-11.6,79.9-50.4,1
Valencia,,77-86,181.6-33.1,118.3-26,138.2-59.9,1
Aragon,
